File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
./data/output_files/out/UN_102_em_44.lg, Incorrect,40,8,32,30,2,0.195014135268,26,650,22,30,1,0,2,1,23,22,0,21,17,6,0,0,0,0,0,0,0,0
./data/output_files/out/UN_102_em_45.lg, Incorrect,98,18,80,68,12,0.248475778223,41,1640,28,71,6,0,6,3,29,25,0,20,15,14,0,0,0,0,0,0,0,0
./data/output_files/out/UN_102_em_46.lg, Incorrect,19,2,17,17,0,0.122549019608,17,272,13,17,0,0,0,0,14,12,0,12,12,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_102_em_47.lg, Incorrect,27,5,22,20,2,0.235517376109,16,240,10,21,1,0,0,0,11,10,0,8,7,4,0,0,0,0,0,0,0,0
./data/output_files/out/UN_102_em_48.lg, Incorrect,16,1,15,15,0,0.129003304465,13,156,9,15,0,12,0,0,10,10,0,10,9,1,0,0,0,1,0,0,0,0
./data/output_files/out/UN_102_em_49.lg, Incorrect,2,1,1,1,0,0.402368927062,2,2,1,1,0,1,0,0,2,2,0,2,1,1,0,0,0,1,0,0,0,0
./data/output_files/out/UN_103_em_50.lg, Incorrect,23,3,20,18,2,0.216870323341,14,182,9,19,1,0,0,0,10,10,0,9,8,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_51.lg, Incorrect,48,9,39,23,16,0.59833468334,11,110,3,30,8,0,2,1,4,5,0,1,1,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_52.lg, Incorrect,12,0,12,12,0,0.136082763488,9,72,5,12,0,9,0,0,6,6,0,6,6,0,0,0,0,1,1,0,0,0
./data/output_files/out/UN_103_em_53.lg, Incorrect,46,4,42,42,0,0.0818406087155,43,1806,42,42,0,0,0,0,43,42,0,42,39,4,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_54.lg, Incorrect,32,5,27,23,4,0.243482826161,17,272,10,25,2,0,0,0,11,12,0,9,8,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_55.lg, Incorrect,35,7,28,24,4,0.241348730741,20,380,16,26,2,0,0,0,17,15,0,12,12,5,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_56.lg, Incorrect,13,3,10,8,2,0.32885312129,8,56,5,9,1,0,0,0,6,5,0,4,4,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_57.lg, Incorrect,16,3,13,13,0,0.187940985743,12,132,9,13,0,0,0,0,10,9,0,9,7,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_58.lg, Incorrect,12,2,10,10,0,0.198300072824,9,72,6,10,0,0,0,0,7,6,0,6,5,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_59.lg, Incorrect,23,3,20,20,0,0.14921122017,17,272,13,20,0,0,0,0,14,12,0,12,11,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_60.lg, Incorrect,57,12,45,41,4,0.182676296546,38,1406,32,43,2,0,0,0,33,31,0,29,22,11,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_61.lg, Incorrect,46,9,37,33,4,0.185122268413,31,930,24,35,2,0,0,0,25,20,0,19,18,7,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_62.lg, Incorrect,22,6,16,8,8,0.490468173597,9,72,7,12,4,0,0,0,7,4,0,3,3,4,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_63.lg, Incorrect,96,21,75,65,10,0.244119436053,45,1980,33,67,5,0,6,3,34,32,0,27,20,14,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_64.lg, Incorrect,6,1,5,5,0,0.191638319044,6,30,4,5,0,5,0,0,5,5,0,5,4,1,0,0,0,1,0,0,0,0
./data/output_files/out/UN_103_em_65.lg, Incorrect,9,3,6,4,2,0.621785023883,4,12,2,5,1,0,0,0,3,2,0,1,1,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_66.lg, Incorrect,53,7,46,40,6,0.19525267909,28,756,17,43,3,0,0,0,18,18,0,15,14,4,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_67.lg, Incorrect,35,7,28,24,4,0.28462566412,17,272,11,25,2,0,2,1,12,11,0,9,8,4,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_68.lg, Incorrect,66,15,51,41,10,0.292943525598,29,812,23,45,5,0,2,1,23,19,0,15,13,10,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_69.lg, Incorrect,14,4,10,4,6,0.684943112897,5,20,2,7,3,0,0,0,3,3,0,1,1,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_70.lg, Incorrect,14,3,11,11,0,0.179558378198,12,132,11,11,0,0,0,0,12,11,0,11,9,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_72.lg, Incorrect,2,1,1,1,0,0.402368927062,2,2,1,1,0,1,0,0,2,2,0,2,1,1,0,0,0,1,0,0,0,0
./data/output_files/out/UN_103_em_73.lg, Incorrect,21,6,15,13,2,0.320063807404,12,132,11,14,1,0,0,0,11,9,0,8,6,5,0,0,0,0,0,0,0,0
./data/output_files/out/UN_103_em_74.lg, Incorrect,63,14,49,37,12,0.273810978946,30,870,19,42,6,0,2,1,20,19,0,12,11,9,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_75.lg, Incorrect,13,2,11,9,2,0.259918956291,9,72,8,10,1,0,0,0,8,8,0,7,7,1,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_76.lg, Incorrect,12,2,10,10,0,0.177777777778,10,90,6,10,0,0,0,0,7,6,0,6,5,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_77.lg, Incorrect,32,6,26,18,8,0.338730956308,14,182,9,22,4,0,0,0,10,11,0,8,7,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_78.lg, Incorrect,38,7,31,27,4,0.21359199594,23,506,17,28,2,0,2,1,18,15,0,14,12,6,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_79.lg, Incorrect,11,1,10,10,0,0.161263035787,9,72,6,10,0,0,0,0,7,6,0,6,6,1,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_80.lg, Incorrect,7,3,4,4,0,0.3490711985,5,20,4,4,0,0,0,0,5,3,0,3,2,3,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_81.lg, Incorrect,25,5,20,20,0,0.16832777048,19,342,16,20,0,0,0,0,17,13,0,13,12,5,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_82.lg, Incorrect,22,4,18,12,6,0.368470828416,10,90,6,15,3,0,0,0,7,5,0,5,5,2,0,0,0,0,0,0,0,0
./data/output_files/out/UN_104_em_83.lg, Incorrect,16,2,14,14,0,0.164112046769,12,132,8,14,0,10,0,0,9,9,0,9,7,2,0,0,0,1,0,0,0,0
